year,place,times mentioned
19391,London,2
19391,Perić,3
19391,thatta,28
19391,paris,1
19391,Bagan,1
19391,"Puhar, Mayiladuthurai",2
19391,prom,30
19391,buddhadasa,1
19391,amravati,1
19391,mactan,1
19391,thangam,3
19391,Manipur,1
19391,Palembang,1
19391,Lake Tahoe,1
19391,lindi,1
19391,Beihai,1
19391,Bawbawgyi Pagoda,1
19391,Kolkata,1
19391,Lahore,1
19391,Junagadh,1
19391,María Luisa Bombal,2
19391,lucknow,1
19391,Mathura,1
19391,Chunar,1
19391,mali,3
19391,yogyakarta,2
19391,Prambanan,1
19391,Borobudur,1
19391,warsaw,3
19391,Thiruvananthapuram,1
19391,Zurich,1
19391,hari,1
19391,ranch,1
19391,Berlin,1
19391,Leiden,1
19391,Myanmar,48
19391,india,39
19391,china,12
19391,Japan,1
19391,Sri Lanka,3
19391,refugee,1
19391,Thailand,1
19391,Cambodia,2
19391,Lower Myanmar,1
19391,African National Congress,1
19391,Indonesia,1
19391,Singapore,2
19391,Australia,1
19391,New Zealand,1
19391,philippines,2
19391,Brussels,1
19391,Afghanistan,1
19391,Serindia,1
19391,Upper Myanmar,2
19391,Shin Sawbu,1
19391,Dvaravati,7
19391,Bodh Gaya,1
19391,Naga people,5
19391,South India,1
19391,bihar,2
19391,Bengal,4
19391,tibet,1
19391,Kedah,1
19391,dvaravati,3
19391,magadan,1
19391,Operation Red Wings,1
19391,Vindhya Range,1
19391,Godavari River,1
19391,asia,1
19391,Cathan,1
19391,Kingdom of Amber,1
19391,Málaga,1
19391,Java,1
19391,japan,1
1940,London,3
1940,Kabul,8
1940,Perić,4
1940,Jalalabad,1
1940,Ghorband District,3
1940,Sistan,1
1940,Palembang,19
1940,nigeria,1
1940,Phatthalung,1
1940,Mergers and acquisitions,2
1940,mali,3
1940,srisailam,1
1940,kataba,1
1940,laos,1
1940,thangam,1
1940,Battle of Takkolam,1
1940,Oxford,1
1940,Vidisha,2
1940,Kundina,9
1940,María Luisa Bombal,2
1940,hari,2
1940,Pattinam,1
1940,"Puhar, Mayiladuthurai",1
1940,potenza,1
1940,Leiden,4
1940,Corinthia,1
